timestamp,value,anomaly_score
2015-07-28 11:56:00,248,0.0
2015-07-28 12:06:00,178,0.0
2015-07-28 12:25:00,155,0.0
2015-07-28 13:56:00,121,0.0
2015-07-28 14:06:00,103,0.0
2015-07-28 14:16:00,96,0.0
2015-07-28 17:23:00,170,0.0
2015-07-28 22:03:00,168,0.0
2015-07-28 22:13:00,177,0.0
2015-07-28 22:22:00,211,0.0
2015-07-28 22:33:00,258,0.0
2015-07-28 22:43:00,191,-248.0
2015-07-29 06:49:00,4416,-178.0
2015-07-29 07:23:00,200,-155.0
2015-07-29 07:53:00,210,-121.0
2015-07-29 08:13:00,197,-103.0
2015-07-29 08:23:00,238,-96.0
2015-07-29 08:51:00,264,-170.0
2015-07-29 09:03:00,263,-168.0
2015-07-29 09:13:00,237,-177.0
2015-07-29 09:43:00,218,-211.0
2015-07-29 10:03:00,218,-258.0
2015-07-29 10:13:00,286,-191.0
2015-07-29 10:17:00,287,-4416.0
2015-07-30 08:58:00,312,-200.0
2015-07-30 09:07:00,296,-210.0
2015-07-30 09:18:00,213,-197.0
2015-07-30 09:28:00,189,-238.0
2015-07-30 09:37:00,174,-264.0
2015-07-30 09:48:00,210,-263.0
2015-07-30 09:57:00,229,-237.0
2015-07-30 10:18:00,226,-218.0
2015-07-30 11:07:00,348,-218.0
2015-07-30 12:35:00,58,-286.0
2015-07-30 13:14:00,118,-287.0
2015-07-30 13:38:00,121,-312.0
2015-07-30 14:14:00,530,-296.0
2015-07-30 14:38:00,185,-213.0
2015-07-30 14:48:00,189,-189.0
2015-07-30 14:52:00,221,-174.0
2015-07-30 15:08:00,392,-210.0
2015-07-30 15:18:00,418,-229.0
2015-07-30 15:27:00,603,-226.0
2015-07-30 15:37:00,705,-348.0
2015-07-30 15:48:00,798,-58.0
2015-07-30 15:58:00,729,-118.0
2015-07-30 16:08:00,863,-121.0
2015-07-30 16:34:00,916,-530.0
2015-07-30 16:55:00,652,-185.0
2015-07-30 17:26:00,881,-189.0
2015-07-30 18:07:00,383,-221.0
2015-07-30 19:00:00,393,-392.0
2015-07-30 20:48:00,29,-418.0
2015-07-30 21:39:00,69,-603.0
2015-07-30 21:41:00,99,-705.0
2015-07-30 21:59:00,73,-798.0
2015-07-30 22:01:00,106,-729.0
2015-07-30 22:59:00,159,-863.0
2015-07-30 23:48:00,110,-916.0
2015-07-31 06:07:00,96,-652.0
2015-07-31 08:59:00,611,-881.0
2015-07-31 09:09:00,1144,-383.0
2015-07-31 09:19:00,1321,-393.0
2015-07-31 09:28:00,1510,-29.0
2015-07-31 09:39:00,1623,-69.0
2015-07-31 09:49:00,1932,-99.0
2015-07-31 09:59:00,2051,-73.0
2015-07-31 10:09:00,1978,-106.0
2015-07-31 10:19:00,2942,-159.0
2015-07-31 10:29:00,3036,-110.0
2015-07-31 10:39:00,3182,-96.0
2015-07-31 10:49:00,2869,-611.0
2015-07-31 10:59:00,3058,-1144.0
2015-07-31 11:09:00,4290,-1321.0
2015-07-31 11:29:00,3922,-1510.0
2015-07-31 11:39:00,4295,-1623.0
2015-07-31 11:59:00,4757,-1932.0
2015-07-31 12:09:00,5161,-2051.0
2015-07-31 12:29:00,5241,-1978.0
2015-07-31 12:33:00,5578,-2942.0
2015-07-31 16:39:00,277,-3036.0
2015-07-31 16:49:00,217,-3182.0
2015-07-31 16:59:00,226,-2869.0
2015-07-31 17:08:00,308,-3058.0
2015-07-31 17:18:00,349,-4290.0
2015-07-31 17:41:00,230,-3922.0
