timestamp,value,anomaly_score
2014-07-01 00:00:00,10844,0
2014-07-01 00:30:00,8127,0
2014-07-01 01:00:00,6210,0
2014-07-01 01:30:00,4656,0
2014-07-01 02:00:00,3820,0
2014-07-01 02:30:00,2873,0
2014-07-01 03:00:00,2369,0
2014-07-01 03:30:00,2064,0
2014-07-01 04:00:00,2221,0
2014-07-01 04:30:00,2158,0
2014-07-01 05:00:00,2515,0
2014-07-01 05:30:00,4364,[-1796.46582031]
2014-07-01 06:00:00,6526,[-161.90527344]
2014-07-01 06:30:00,11039,[-836.71679688]
2014-07-01 07:00:00,13857,[ 124.69433594]
2014-07-01 07:30:00,15865,[-167.64794922]
2014-07-01 08:00:00,17920,[ 264.72216797]
2014-07-01 08:30:00,20346,[-2369.]
2014-07-01 09:00:00,19539,[-2064.]
2014-07-01 09:30:00,20107,[-2221.]
2014-07-01 10:00:00,18984,[ 692.13989258]
2014-07-01 10:30:00,17720,[ 4360.88134766]
2014-07-01 11:00:00,17249,[ 1855.20458984]
2014-07-01 11:30:00,18463,[-190.39355469]
2014-07-01 12:00:00,18908,[-3289.98632812]
2014-07-01 12:30:00,18886,[ 1850.79394531]
2014-07-01 13:00:00,18178,[ 1140.70703125]
2014-07-01 13:30:00,19459,[-7.96679688]
2014-07-01 14:00:00,19546,[-492.15039062]
2014-07-01 14:30:00,20591,[-674.63085938]
2014-07-01 15:00:00,19380,[-951.0859375]
2014-07-01 15:30:00,18544,[-568.94335938]
2014-07-01 16:00:00,16228,[ 222.5546875]
2014-07-01 16:30:00,15013,[ 589.31640625]
2014-07-01 17:00:00,17203,[ 163.9453125]
2014-07-01 17:30:00,19525,[-29.48632812]
2014-07-01 18:00:00,22966,[ 149.6953125]
2014-07-01 18:30:00,27598,[ 553.14648438]
2014-07-01 19:00:00,26827,[ 147.98242188]
2014-07-01 19:30:00,24904,[-183.07617188]
2014-07-01 20:00:00,22875,[-1620.3046875]
2014-07-01 20:30:00,20394,[-3276.04394531]
2014-07-01 21:00:00,23401,[-1647.61523438]
2014-07-01 21:30:00,24439,[-647.87988281]
2014-07-01 22:00:00,23318,[ 2000.93164062]
2014-07-01 22:30:00,21733,[ 2413.671875]
2014-07-01 23:00:00,20104,[ 2938.10351562]
2014-07-01 23:30:00,16111,[ 1654.26367188]
2014-07-02 00:00:00,13370,[-2136.66796875]
2014-07-02 00:30:00,9945,[-1903.56640625]
2014-07-02 01:00:00,7571,[-849.59570312]
2014-07-02 01:30:00,5917,[ 909.59570312]
2014-07-02 02:00:00,4820,[ 4354.39257812]
2014-07-02 02:30:00,3634,[-26.99023438]
2014-07-02 03:00:00,2993,[-274.10742188]
2014-07-02 03:30:00,2535,[-520.703125]
2014-07-02 04:00:00,2570,[-456.72070312]
2014-07-02 04:30:00,2485,[-589.47070312]
2014-07-02 05:00:00,2868,[-760.82128906]
2014-07-02 05:30:00,4482,[-376.875]
2014-07-02 06:00:00,6788,[-913.40429688]
2014-07-02 06:30:00,11078,[-1526.47900391]
2014-07-02 07:00:00,13729,[-1137.79736328]
2014-07-02 07:30:00,16700,[-1175.03857422]
2014-07-02 08:00:00,19156,[ 305.32666016]
2014-07-02 08:30:00,19953,[-2993.]
2014-07-02 09:00:00,19502,[-2535.]
2014-07-02 09:30:00,18994,[-2570.]
2014-07-02 10:00:00,17311,[-1525.6729126]
2014-07-02 10:30:00,17904,[ 3777.15722656]
2014-07-02 11:00:00,17133,[ 2886.52099609]
2014-07-02 11:30:00,18589,[ 576.77050781]
2014-07-02 12:00:00,19134,[-306.8515625]
2014-07-02 12:30:00,19259,[ 1210.65917969]
2014-07-02 13:00:00,18667,[ 169.23046875]
2014-07-02 13:30:00,19078,[-2050.83007812]
2014-07-02 14:00:00,18546,[-2783.23242188]
2014-07-02 14:30:00,18593,[-2726.97070312]
2014-07-02 15:00:00,17967,[-2280.63085938]
2014-07-02 15:30:00,16624,[-421.01953125]
2014-07-02 16:00:00,14634,[-573.31640625]
2014-07-02 16:30:00,13888,[ 678.47265625]
2014-07-02 17:00:00,17430,[ 158.6953125]
2014-07-02 17:30:00,21919,[ 99.19140625]
2014-07-02 18:00:00,23633,[ 430.67578125]
2014-07-02 18:30:00,24512,[ 568.16601562]
2014-07-02 19:00:00,24887,[ 1476.83984375]
2014-07-02 19:30:00,26872,[ 2033.81835938]
2014-07-02 20:00:00,22009,[-277.52734375]
2014-07-02 20:30:00,18259,[-1714.24902344]
2014-07-02 21:00:00,20844,[-1969.55566406]
2014-07-02 21:30:00,22576,[ 705.60742188]
