timestamp,value,anomaly_score
2014-04-01 00:00:00,-21.0483826823,0
2014-04-01 00:05:00,-20.2954768676,0
2014-04-01 00:10:00,-18.127229468299998,0
2014-04-01 00:15:00,-20.1716653997,0
2014-04-01 00:20:00,-21.223761612,0
2014-04-01 00:25:00,-19.1044911334,0
2014-04-01 00:30:00,-21.589446495900003,0
2014-04-01 00:35:00,-18.9450416275,0
2014-04-01 00:40:00,-18.305892530599998,0
2014-04-01 00:45:00,-18.6397572378,0
2014-04-01 00:50:00,-21.3480114749,0
2014-04-01 00:55:00,-19.669223676199998,[ 21.58495961]
2014-04-01 01:00:00,-21.1877822545,[ 20.80660768]
2014-04-01 01:05:00,-20.124932244,[ 18.61833911]
2014-04-01 01:10:00,-19.9222364992,[ 20.64438048]
2014-04-01 01:15:00,-21.227652606,[ 21.67522227]
2014-04-01 01:20:00,-19.693950446800002,[ 19.53739886]
2014-04-01 01:25:00,-21.2081309243,[ 22.00608898]
2014-04-01 01:30:00,-18.4026486599,[ 19.34478021]
2014-04-01 01:35:00,-20.5452432622,[ 18.68577287]
2014-04-01 01:40:00,-20.8103482262,[ 19.00213893]
2014-04-01 01:45:00,-21.5963895846,[ 21.69567544]
2014-04-01 01:50:00,-18.8972956749,[ 20.00405861]
2014-04-01 01:55:00,-20.4168795204,[ 21.51106792]
2014-04-01 02:00:00,-19.7330262548,[ 20.43767561]
2014-04-01 02:05:00,-19.5310866222,[ 20.22518861]
2014-04-01 02:10:00,-18.4268542208,[ 21.52141276]
2014-04-01 02:15:00,-18.5369333224,[ 19.97906649]
2014-04-01 02:20:00,-21.3479538458,[ 21.48506525]
2014-04-01 02:25:00,-20.9990137293,[ 18.67178378]
2014-04-01 02:30:00,-19.529364521199998,[ 20.80680114]
2014-04-01 02:35:00,-21.3139463256,[ 21.06451885]
2014-04-01 02:40:00,-18.3230647393,[ 21.84339082]
2014-04-01 02:45:00,-20.4990956681,[ 19.13722309]
2014-04-01 02:50:00,-21.472704210899998,[ 20.64970446]
2014-04-01 02:55:00,-21.3554569241,[ 19.95865637]
2014-04-01 03:00:00,-19.4911310398,[ 19.74933402]
2014-04-01 03:05:00,-20.9809354122,[ 18.63745674]
2014-04-01 03:10:00,-19.7098725821,[ 18.73965678]
2014-04-01 03:15:00,-21.3605526576,[ 21.54267559]
2014-04-01 03:20:00,-20.1230478006,[ 21.18580664]
2014-04-01 03:25:00,-21.059428196400003,[ 19.70840427]
2014-04-01 03:30:00,-18.3142863292,[ 21.48548757]
2014-04-01 03:35:00,-20.3601038864,[ 18.48741714]
2014-04-01 03:40:00,-20.2011367099,[ 20.65662241]
2014-04-01 03:45:00,-20.4399068869,[ 21.62377409]
2014-04-01 03:50:00,-20.7825664317,[ 21.50042765]
2014-04-01 03:55:00,-21.672435880100004,[ 19.6303279]
2014-04-01 04:00:00,-21.1427283271,[ 21.11463489]
2014-04-01 04:05:00,-18.878551965699998,[ 19.83831596]
2014-04-01 04:10:00,-21.3035850772,[ 21.48396122]
2014-04-01 04:15:00,-18.4883187105,[ 20.24166655]
2014-04-01 04:20:00,-20.4887943427,[ 21.17345989]
2014-04-01 04:25:00,-21.531015233,[ 18.42393354]
2014-04-01 04:30:00,-18.4044882169,[ 20.46553128]
2014-04-01 04:35:00,-21.3987706132,[ 20.30247839]
2014-04-01 04:40:00,-21.194482936900002,[ 20.537323]
2014-04-01 04:45:00,-20.0151017354,[ 20.87619304]
2014-04-01 04:50:00,-19.2355904092,[ 21.76238917]
2014-04-01 04:55:00,-19.6217529123,[ 21.22913256]
2014-04-01 05:00:00,-21.8746325428,[ 18.96153147]
2014-04-01 05:05:00,-18.8067902246,[ 21.38324353]
2014-04-01 05:10:00,-20.3184171513,[ 18.56473207]
2014-04-01 05:15:00,-18.3329629915,[ 20.56204515]
2014-04-01 05:20:00,-18.8715722568,[ 21.6011875]
2014-04-01 05:25:00,-21.0532655523,[ 18.47167918]
2014-04-01 05:30:00,-19.210396161400002,[ 21.46306649]
2014-04-01 05:35:00,-21.9430642823,[ 21.25595126]
2014-04-01 05:40:00,-20.0032681724,[ 20.0738139]
2014-04-01 05:45:00,-20.0661573012,[ 19.29158991]
2014-04-01 05:50:00,-18.1452589573,[ 19.67507931]
2014-04-01 05:55:00,-21.8261069983,[ 21.92533326]
2014-04-01 06:00:00,-18.6969337635,[ 18.85493348]
2014-04-01 06:05:00,-20.1533623952,[ 20.3640374]
2014-04-01 06:10:00,-19.5826984398,[ 18.37609949]
2014-04-01 06:15:00,-19.662338803,[ 18.91225795]
2014-04-01 06:20:00,-20.5732006641,[ 21.09153313]
2014-04-01 06:25:00,-20.6483547084,[ 19.24628801]
2014-04-01 06:30:00,-18.617154459400002,[ 21.9766136]
2014-04-01 06:35:00,-19.9983466125,[ 20.03450767]
2014-04-01 06:40:00,-21.1619097966,[ 20.09512716]
2014-04-01 06:45:00,-19.773145934200002,[ 18.17198978]
2014-04-01 06:50:00,-18.6632178833,[ 21.8506102]
2014-04-01 06:55:00,-19.2528677726,[ 18.71923272]
2014-04-01 07:00:00,-18.8495182564,[ 20.17348677]
2014-04-01 07:05:00,-18.503269871700002,[ 19.60067659]
2014-04-01 07:10:00,-19.510324509700002,[ 19.6781989]
2014-04-01 07:15:00,-20.1637449728,[ 20.58697343]
2014-04-01 07:20:00,-18.2910061011,[ 20.66006703]
2014-04-01 07:25:00,-20.4152934889,[ 18.62682301]
2014-04-01 07:30:00,-21.972097760700002,[ 20.00598983]
2014-04-01 07:35:00,-21.8564997281,[ 21.16754006]
2014-04-01 07:40:00,-21.316693928,[ 19.77676136]
2014-04-01 07:45:00,-19.065364451199997,[ 18.66480419]
2014-04-01 07:50:00,-18.089630385899998,[ 19.25286777]
2014-04-01 07:55:00,-21.3341668115,[ 18.84951826]
2014-04-01 08:00:00,-18.2228809279,[ 18.50326987]
2014-04-01 08:05:00,-18.8225123259,[ 19.51032451]
2014-04-01 08:10:00,-20.1778128618,[ 20.16374497]
2014-04-01 08:15:00,-18.7135121566,[ 18.2910061]
2014-04-01 08:20:00,-21.3351533252,[ 20.41529349]
2014-04-01 08:25:00,-21.108638785,[ 21.97209776]
2014-04-01 08:30:00,-21.0230780229,[ 21.85649973]
2014-04-01 08:35:00,-21.2645104636,[ 21.31669393]
2014-04-01 08:40:00,-18.8788071211,[ 19.06536445]
2014-04-01 08:45:00,-20.9155695046,[ 18.08963039]
2014-04-01 08:50:00,-19.4211260104,[ 21.33416681]
2014-04-01 08:55:00,-20.6673790383,[ 18.22288093]
2014-04-01 09:00:00,55.46426074359999,[ 18.82251233]
2014-04-01 09:05:00,62.4670389608,[ 20.17781286]
2014-04-01 09:10:00,65.66529273479999,[ 18.95411802]
2014-04-01 09:15:00,54.5232043838,[ 21.56388672]
2014-04-01 09:20:00,55.125946813999995,[ 21.33768178]
2014-04-01 09:25:00,55.4836412081,[ 21.26304002]
2014-04-01 09:30:00,59.166766859300004,[ 21.52150158]
2014-04-01 09:35:00,57.489362219200004,[ 19.15597486]
2014-04-01 09:40:00,63.6830418425,[ 21.21513413]
2014-04-01 09:45:00,59.6854468704,[ 19.74492792]
2014-04-01 09:50:00,59.81444811229999,[ 21.01691686]
2014-04-01 09:55:00,62.6044572159,[-55.44405038]
2014-04-01 10:00:00,73.9019285345,[-62.43955616]
2014-04-01 10:05:00,73.7687501608,[-65.6310734]
2014-04-01 10:10:00,79.9052810919,[-54.48260941]
2014-04-01 10:15:00,80.2566345367,[-55.07914264]
2014-04-01 10:20:00,68.6188613425,[-55.43065492]
2014-04-01 10:25:00,70.5856152328,[-59.10754515]
2014-04-01 10:30:00,71.6390923535,[-57.42387177]
2014-04-01 10:35:00,73.7443271251,[-63.61122624]
2014-04-01 10:40:00,72.83001086819999,[-59.6072089]
2014-04-01 10:45:00,78.56150473550001,[-59.72964133]
2014-04-01 10:50:00,80.9876555538,[-62.51291944]
2014-04-01 10:55:00,71.3197221318,[-73.80347794]
2014-04-01 11:00:00,80.1976041599,[-73.66320221]
2014-04-01 11:05:00,77.1062094171,[-79.79251831]
2014-04-01 11:10:00,79.2915215407,[-80.13652583]
2014-04-01 11:15:00,81.1128042138,[-68.49127118]
2014-04-01 11:20:00,85.4346211279,[-70.4504046]
2014-04-01 11:25:00,74.3259158584,[-71.49615514]
2014-04-01 11:30:00,72.658184339,[-73.59360949]
2014-04-01 11:35:00,81.21503679770001,[-72.67161108]
2014-04-01 11:40:00,77.5230326446,[-78.39564389]
2014-04-01 11:45:00,73.8603786618,[-80.8145742]
2014-04-01 11:50:00,73.1346607309,[-71.1396777]
2014-04-01 11:55:00,80.1331310241,[-80.01086121]
2014-04-01 12:00:00,76.6539144534,[-76.91303508]
2014-04-01 12:05:00,87.7829044292,[-79.09214312]
2014-04-01 12:10:00,78.3374242831,[-80.90742765]
2014-04-01 12:15:00,75.2457925688,[-85.22340235]
2014-04-01 12:20:00,81.8974615524,[-74.10908581]
2014-04-01 12:25:00,75.7562620786,[-72.43671054]
2014-04-01 12:30:00,79.7455659383,[-80.98952701]
2014-04-01 12:35:00,79.5617765017,[-77.29382491]
2014-04-01 12:40:00,79.0984082313,[-73.62747946]
2014-04-01 12:45:00,84.567896398,[-72.89833301]
2014-04-01 12:50:00,75.31487640739999,[-79.89354112]
2014-04-01 12:55:00,86.2959790474,[-76.41111513]
2014-04-01 13:00:00,84.6275834722,[-87.53692548]
2014-04-01 13:05:00,77.2990258448,[-78.08830978]
2014-04-01 13:10:00,74.8596842444,[-74.99356052]
2014-04-01 13:15:00,76.441971368,[-81.64233362]
2014-04-01 13:20:00,77.2912510786,[-75.49851029]
2014-04-01 13:25:00,80.8785663286,[-79.48521398]
2014-04-01 13:30:00,72.7127939447,[-79.29879977]
2014-04-01 13:35:00,86.5950941792,[-78.83281029]
2014-04-01 13:40:00,73.5493661875,[-84.29965547]
2014-04-01 13:45:00,76.4377869559,[-75.04396823]
2014-04-01 13:50:00,73.7190995676,[-86.02242669]
2014-04-01 13:55:00,76.0763225183,[-84.351464]
2014-04-01 14:00:00,85.3959488753,[-77.0203975]
2014-04-01 14:05:00,81.8362655571,[-74.57854949]
2014-04-01 14:10:00,75.6311206277,[-76.15829158]
2014-04-01 14:15:00,85.9412606259,[-77.005022]
2014-04-01 14:20:00,84.80460803609999,[-80.58974693]
2014-04-01 14:25:00,84.0516638461,[-72.42141384]
2014-04-01 14:30:00,85.55527820430001,[-86.30121998]
2014-04-01 14:35:00,81.90784175270001,[-73.25340406]
2014-04-01 14:40:00,80.0165959236,[-76.13986411]
2014-04-01 14:45:00,77.9767217819,[-73.41919641]
2014-04-01 14:50:00,75.57417790859999,[-75.77436512]
2014-04-01 14:55:00,80.9121130354,[-85.09189682]
2014-04-01 15:00:00,86.2304978214,[-81.53013595]
2014-04-01 15:05:00,81.5024045645,[-75.32288117]
2014-04-01 15:10:00,86.71232236819998,[-85.63085656]
2014-04-01 15:15:00,77.70943454260001,[-84.4920273]
2014-04-01 15:20:00,83.1208776051,[-83.73691231]
2014-04-01 15:25:00,82.377329501,[-85.23838329]
2014-04-01 15:30:00,82.7256178739,[-81.58884893]
2014-04-01 15:35:00,82.3193550651,[-79.69554266]
2014-04-01 15:40:00,75.5452660554,[-77.65362369]
2014-04-01 15:45:00,74.2962656133,[-75.24899356]
2014-04-01 15:50:00,87.6566495709,[-80.58476194]
2014-04-01 15:55:00,72.7235584659,[-85.900948]
2014-04-01 16:00:00,79.4835294443,[-81.17064827]
2014-04-01 16:05:00,78.80103291020001,[-86.37838562]
2014-04-01 16:10:00,77.7600544985,[-77.37332756]
2014-04-01 16:15:00,84.5114712197,[-82.78257776]
2014-04-01 16:20:00,83.92533605109999,[-82.0368267]
2014-04-01 16:25:00,86.48332202899998,[-82.38292398]
2014-04-01 16:30:00,78.32754977,[-81.97452259]
2014-04-01 16:35:00,81.0266131609,[-75.19833466]
2014-04-01 16:40:00,86.2766366714,[-73.94716711]
2014-04-01 16:45:00,87.9012877207,[-87.30538018]
2014-04-01 16:50:00,87.50842977,[-72.37014322]
2014-04-01 16:55:00,83.4852347867,[-79.12793967]
2014-04-01 17:00:00,74.29159337829998,[-78.44323883]
2014-04-01 17:05:00,72.3709298713,[-77.39998904]
2014-04-01 17:10:00,85.2034391722,[-84.14906443]
2014-04-01 17:15:00,85.45501770060001,[-83.56055279]
2014-04-01 17:20:00,83.9417208095,[-86.11619556]
2014-04-01 17:25:00,76.4787268296,[-77.95810015]
2014-04-01 17:30:00,82.2370331218,[-80.6547709]
2014-04-01 17:35:00,77.0599257507,[-85.90231742]
2014-04-01 17:40:00,79.210321243,[-87.52446355]
2014-04-01 17:45:00,78.11891136359999,[-87.12914888]
2014-04-01 17:50:00,86.618185953,[-83.10381802]
2014-04-01 17:55:00,75.7464688141,[-73.90849665]
2014-04-01 18:00:00,-1.03989471325e-05,[-71.98618597]
2014-04-01 18:05:00,-9.9552901714e-06,[-84.81696483]
2014-04-01 18:10:00,-1.0574e-05,[-84.99231915]
2014-04-01 18:15:00,-1.03722253131e-05,[-83.3932192]
2014-04-01 18:20:00,-1.11083062914e-05,[-75.85127213]
2014-04-01 18:25:00,-9.42410168663e-06,[-81.50214272]
2014-04-01 18:30:00,-9.66787243976e-06,[-76.29833157]
