timestamp,value,anomaly_score
2015-09-01 11:30:00,13.56,0
2015-09-01 11:35:00,8.33,0
2015-09-01 11:40:00,11.78,0
2015-09-01 11:55:00,15.28,0
2015-09-01 12:00:00,10.06,0
2015-09-01 12:05:00,7.44,0
2015-09-01 12:10:00,8.11,0
2015-09-01 12:15:00,10.72,0
2015-09-01 12:20:00,11.83,0
2015-09-01 12:25:00,9.61,0
2015-09-01 12:30:00,10.22,0
2015-09-01 12:35:00,10.72,[-12.79840582]
2015-09-01 12:45:00,10.28,[-7.56840582]
2015-09-01 12:50:00,13.72,[-11.01840582]
2015-09-01 12:55:00,7.39,[-14.51840582]
2015-09-01 13:05:00,2.61,[-9.29840582]
2015-09-01 13:10:00,7.33,[-6.67840582]
2015-09-01 13:15:00,8.5,[-7.34840582]
2015-09-01 13:20:00,10.56,[-9.95840582]
2015-09-01 13:25:00,13.78,[-11.06840582]
2015-09-01 13:35:00,7.78,[-8.84840582]
2015-09-01 13:45:00,7.72,[-9.45840582]
2015-09-01 13:50:00,10.11,[-9.95840582]
2015-09-01 14:00:00,9.56,[-9.51840582]
2015-09-01 14:05:00,14.94,[-12.95840582]
2015-09-01 14:10:00,25.89,[-6.62840582]
2015-09-01 14:15:00,10.17,[-1.84840582]
2015-09-01 14:30:00,6.39,[-6.56840582]
2015-09-01 14:35:00,12.89,[-7.73840582]
2015-09-01 14:40:00,9.06,[-9.79840582]
2015-09-01 14:50:00,11.67,[-13.01840582]
2015-09-01 14:55:00,7.94,[-7.01840582]
2015-09-01 15:00:00,8.17,[-6.95840582]
2015-09-01 15:05:00,24.72,[-9.34840582]
2015-09-01 15:10:00,9.06,[-8.79840582]
2015-09-01 15:25:00,14.89,[-14.17840582]
2015-09-01 15:30:00,8.28,[-25.12840582]
2015-09-01 15:35:00,7.83,[-9.40840582]
2015-09-01 15:40:00,12.28,[-5.62840582]
2015-09-01 15:45:00,14.94,[-12.12840582]
2015-09-01 15:55:00,14.39,[-8.29840582]
2015-09-01 16:00:00,7.5,[-10.90840582]
2015-09-01 16:05:00,11.5,[-7.17840582]
2015-09-01 16:10:00,10.0,[-7.40840582]
2015-09-01 16:15:00,8.83,[-23.95840582]
2015-09-01 16:20:00,11.33,[-8.29840582]
2015-09-01 16:25:00,11.17,[-14.12840582]
2015-09-01 16:30:00,9.83,[-7.51840582]
2015-09-01 16:40:00,7.67,[-7.06840582]
2015-09-01 16:45:00,14.89,[-11.51840582]
2015-09-01 16:55:00,7.28,[-14.17840582]
2015-09-01 17:05:00,11.83,[-13.62840582]
2015-09-01 17:10:00,13.72,[-6.73840582]
2015-09-01 17:15:00,21.33,[-10.73840582]
2015-09-01 17:20:00,21.61,[-9.23840582]
2015-09-01 17:25:00,14.61,[-8.06840582]
2015-09-01 17:35:00,15.28,[-10.56840582]
2015-09-01 17:40:00,10.33,[-10.40840582]
2015-09-01 17:45:00,7.61,[-9.06840582]
2015-09-01 17:50:00,8.89,[-6.90840582]
2015-09-01 17:55:00,10.72,[-14.12840582]
2015-09-01 17:59:00,9.06,[-6.51840582]
2015-09-01 18:10:00,14.0,[-11.06840582]
2015-09-01 18:15:00,14.56,[-12.95840582]
2015-09-01 18:20:00,8.06,[-20.56840582]
2015-09-01 18:25:00,4.89,[-20.84840582]
2015-09-01 18:30:00,7.72,[-13.84840582]
2015-09-01 18:35:00,9.11,[-14.51840582]
2015-09-01 18:45:00,6.89,[-9.56840582]
2015-09-01 18:50:00,9.11,[-6.84840582]
2015-09-01 19:20:00,8.33,[-8.12840582]
2015-09-01 19:25:00,5.33,[-9.95840582]
2015-09-01 19:35:00,6.11,[-8.29840582]
2015-09-01 19:50:00,4.06,[-13.23840582]
2015-09-01 20:00:00,7.06,[-13.79840582]
2015-09-01 20:15:00,5.83,[-7.29840582]
2015-09-01 20:35:00,8.67,[-4.12840582]
2015-09-01 20:40:00,5.94,[-6.95840582]
2015-09-01 20:50:00,3.39,[-8.34840582]
2015-09-01 20:55:00,5.5,[-6.12840582]
2015-09-01 21:00:00,9.11,[-8.34840582]
2015-09-01 21:05:00,12.83,[-7.56840582]
2015-09-01 21:10:00,6.11,[-4.56840582]
2015-09-01 21:15:00,5.67,[-5.34840582]
2015-09-01 21:20:00,6.17,[-3.29840582]
2015-09-01 21:25:00,2.44,[-6.29840582]
2015-09-01 21:30:00,4.0,[-5.06840582]
2015-09-01 21:35:00,6.72,[-7.90840582]
2015-09-01 21:59:00,1.44,[-5.17840582]
2015-09-01 22:10:00,9.0,[-2.62840582]
2015-09-01 22:20:00,1.06,[-4.73840582]
2015-09-01 22:25:00,6.61,[-8.34840582]
2015-09-01 22:40:00,4.61,[-12.06840582]
2015-09-01 22:45:00,3.28,[-5.34840582]
2015-09-01 22:50:00,1.83,[-4.90840582]
2015-09-01 23:01:00,3.17,[-5.40840582]
2015-09-01 23:05:00,5.17,[-1.67840582]
2015-09-01 23:10:00,2.56,[-3.23840582]
2015-09-01 23:15:00,4.17,[-5.95840582]
2015-09-01 23:45:00,0.67,[-0.67840582]
2015-09-02 00:05:00,0.61,[-8.23840582]
2015-09-02 00:10:00,2.72,[-0.29840582]
2015-09-02 00:30:00,2.39,[-5.84840582]
2015-09-02 01:25:00,5.67,[-3.84840582]
2015-09-02 01:35:00,0.83,[-2.51840582]
2015-09-02 02:30:00,1.61,[-1.06840582]
2015-09-02 02:40:00,4.39,[-2.40840582]
2015-09-02 02:50:00,3.67,[-4.40840582]
2015-09-02 03:05:00,1.89,[-1.79840582]
2015-09-02 03:10:00,0.83,[-3.40840582]
2015-09-02 03:40:00,1.72,[ 0.09159418]
2015-09-02 03:50:00,4.44,[ 0.15159418]
2015-09-02 03:55:00,5.5,[-1.95840582]
2015-09-02 04:05:00,4.17,[-1.62840582]
2015-09-02 04:20:00,2.22,[-4.90840582]
2015-09-02 04:25:00,10.11,[-0.06840582]
2015-09-02 04:40:00,1.72,[-0.84840582]
2015-09-02 04:45:00,1.39,[-3.62840582]
2015-09-02 04:50:00,6.11,[-2.90840582]
2015-09-02 04:55:00,7.94,[-1.12840582]
2015-09-02 05:00:00,5.67,[-0.06840582]
2015-09-02 05:10:00,5.67,[-0.95840582]
2015-09-02 05:15:00,4.44,[-3.67840582]
2015-09-02 05:20:00,6.06,[-4.73840582]
2015-09-02 05:30:00,2.17,[-3.40840582]
2015-09-02 05:35:00,5.61,[-1.45840582]
2015-09-02 05:45:00,6.44,[-9.34840582]
2015-09-02 05:50:00,8.0,[-0.95840582]
2015-09-02 05:55:00,10.33,[-0.62840582]
2015-09-02 06:00:00,14.28,[-5.34840582]
2015-09-02 06:05:00,14.06,[-7.17840582]
2015-09-02 06:10:00,11.61,[-4.90840582]
2015-09-02 06:20:00,12.94,[-4.90840582]
2015-09-02 06:25:00,12.39,[-3.67840582]
2015-09-02 06:30:00,16.78,[-5.29840582]
2015-09-02 06:40:00,8.67,[-1.40840582]
2015-09-02 06:45:00,21.72,[-4.84840582]
2015-09-02 06:50:00,10.67,[-5.67840582]
2015-09-02 06:55:00,12.28,[-7.23840582]
2015-09-02 07:00:00,16.17,[-9.56840582]
2015-09-02 07:05:00,25.61,[-13.51840582]
2015-09-02 07:10:00,25.78,[-13.29840582]
2015-09-02 07:15:00,9.44,[-10.84840582]
2015-09-02 07:20:00,8.83,[-12.17840582]
2015-09-02 07:25:00,11.72,[-11.62840582]
2015-09-02 07:30:00,12.17,[-16.01840582]
2015-09-02 07:35:00,14.33,[-7.90840582]
2015-09-02 07:40:00,12.11,[-20.95840582]
2015-09-02 07:45:00,13.67,[-9.90840582]
2015-09-02 07:50:00,9.17,[-11.51840582]
2015-09-02 07:55:00,15.06,[-15.40840582]
2015-09-02 08:00:00,19.56,[-24.84840582]
2015-09-02 08:05:00,18.0,[-25.01840582]
2015-09-02 08:10:00,14.17,[-8.67840582]
2015-09-02 08:15:00,8.33,[-8.06840582]
2015-09-02 08:20:00,15.72,[-10.95840582]
2015-09-02 08:25:00,12.83,[-11.40840582]
2015-09-02 08:30:00,21.22,[-13.56840582]
2015-09-02 08:35:00,17.39,[-11.34840582]
2015-09-02 08:40:00,16.11,[-12.90840582]
2015-09-02 08:45:00,18.83,[-8.40840582]
2015-09-02 08:50:00,16.89,[-14.29840582]
2015-09-02 08:55:00,18.61,[-18.79840582]
2015-09-02 09:00:00,12.78,[-17.23840582]
2015-09-02 09:05:00,13.33,[-13.40840582]
2015-09-02 09:10:00,20.17,[-7.56840582]
2015-09-02 09:15:00,21.56,[-14.95840582]
2015-09-02 09:25:00,11.78,[-12.06840582]
2015-09-02 09:30:00,12.78,[-20.45840582]
2015-09-02 09:35:00,12.17,[-16.62840582]
2015-09-02 09:40:00,7.78,[-15.34840582]
2015-09-02 09:55:00,6.56,[-18.06840582]
2015-09-02 10:00:00,13.06,[-16.12840582]
2015-09-02 10:05:00,15.06,[-17.84840582]
2015-09-02 10:10:00,11.72,[-12.01840582]
