Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.983396911621,0.514075869343,4,3021,4,399,4032
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realTweets/Twitter_volume_KO.csv,0.983396911621,-0.170471632186,14,13514,0,1573,15851
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.983396911621,-1.99758349981,5,2999,26,398,4032
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.983396911621,-2.77,0,15794,7,1499,18050
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realTraffic/speed_6005.csv,0.983396911621,-2.0,0,1886,0,239,2500
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realTweets/Twitter_volume_CVS.csv,0.983396911621,-3.80178359729,14,13570,7,1512,15853
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realKnownCause/rogue_agent_key_updown.csv,0.983396911621,-4.55,0,4030,5,530,5315
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realTraffic/speed_7578.csv,0.983396911621,-8.0,0,842,0,116,1127
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,artificialNoAnomaly/art_flatline.csv,0.983396911621,0.0,0,3428,0,0,4032
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realAdExchange/exchange-2_cpc_results.csv,0.983396911621,-2.0,0,1218,0,163,1624
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realAdExchange/exchange-3_cpm_results.csv,0.983396911621,0.857454360734,4,1155,0,149,1538
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realTweets/Twitter_volume_CRM.csv,0.983396911621,-0.279079402942,9,13559,0,1584,15902
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.983396911621,0.85712688145,4,3025,0,399,4032
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realTweets/Twitter_volume_FB.csv,0.983396911621,1.71868563755,9,13501,0,1573,15833
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realKnownCause/nyc_taxi.csv,0.983396911621,-10.0,0,8535,0,1035,10320
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.983396911621,-6.0,0,3463,0,465,4621
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.983396911621,-0.275192711578,6,3023,0,399,4032
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.983396911621,-1.65,0,3413,15,0,4032
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,artificialWithAnomaly/art_daily_nojump.csv,0.983396911621,-2.27686215261,0,3022,3,403,4032
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realKnownCause/rogue_agent_key_hold.csv,0.983396911621,-4.0,0,1410,0,190,1882
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realAdExchange/exchange-4_cpc_results.csv,0.983396911621,-3.14679279002,5,1232,0,160,1643
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.983396911621,-3.14285985122,1,3082,0,345,4032
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realKnownCause/machine_temperature_system_failure.csv,0.983396911621,-8.0,0,19677,0,2268,22695
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realTraffic/occupancy_t4013.csv,0.983396911621,-1.13738923989,3,1875,0,247,2500
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.983396911621,-2.05686215261,0,3024,1,403,4032
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realTraffic/occupancy_6005.csv,0.983396911621,-2.0,0,1784,0,239,2380
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realTweets/Twitter_volume_AMZN.csv,0.983396911621,-2.61221855866,14,13498,3,1566,15831
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.983396911621,0.85712688145,4,3025,0,399,4032
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realTweets/Twitter_volume_UPS.csv,0.983396911621,-1.8223044238,20,13527,4,1565,15866
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.983396911621,0.0,0,3428,0,0,4032
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.983396911621,0.527967265074,3,3021,4,400,4032
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realAdExchange/exchange-2_cpm_results.csv,0.983396911621,-4.0,0,1219,0,162,1624
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realTraffic/TravelTime_387.csv,0.983396911621,-3.48355099656,3,1873,3,246,2500
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.983396911621,-1.35849540262,2,3026,0,400,4032
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,artificialNoAnomaly/art_noisy.csv,0.983396911621,0.0,0,3428,0,0,4032
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realKnownCause/ambient_temperature_system_failure.csv,0.983396911621,-4.0,0,5791,0,726,7267
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realTweets/Twitter_volume_GOOG.csv,0.983396911621,-3.04938591413,3,13660,0,1429,15842
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.983396911621,-0.318418075655,6,3537,11,467,4730
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.983396911621,1.7087341609,5,3026,0,397,4032
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.983396911621,-2.0,0,3085,0,343,4032
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realTraffic/speed_t4013.csv,0.983396911621,-4.0,0,1871,0,250,2495
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.983396911621,0.0,0,3428,0,0,4032
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.983396911621,-2.79198431717,5,3011,15,397,4032
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realTweets/Twitter_volume_AAPL.csv,0.983396911621,0.472055231928,13,13563,1,1575,15902
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.983396911621,0.638908670438,7,3023,2,396,4032
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realTraffic/TravelTime_451.csv,0.983396911621,-2.0,0,1621,0,217,2162
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realAdExchange/exchange-3_cpc_results.csv,0.983396911621,-6.0,0,1155,0,153,1538
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.983396911621,-1.14198431717,5,3026,0,397,4032
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.983396911621,-0.33,0,3425,3,0,4032
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.983396911621,0.664882717975,1,3022,3,402,4032
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realTweets/Twitter_volume_IBM.csv,0.983396911621,1.60869016936,9,13552,1,1581,15893
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.983396911621,-4.0,0,931,0,126,1243
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.983396911621,-2.02171320321,6,3539,8,468,4730
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realTweets/Twitter_volume_PFE.csv,0.983396911621,3.55574109815,12,13520,0,1576,15858
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.983396911621,-1.45666522529,12,3012,11,393,4032
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.983396911621,-1.14198431717,5,3026,0,397,4032
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realAdExchange/exchange-4_cpm_results.csv,0.983396911621,-2.29819976221,9,1233,0,155,1643
predictionMultiStepLSTMMultiStep5Window30mseconvergenceLoss12231948,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.983396911621,-1.95099025769,4,3025,1,398,4032
Totals,,,,-107.051322857,226,299209,138,33269,365558
