,timestamp,value,is_anomaly,prediction,convergenceLoss,convergenceLossNormal,anomaly_score
0,2015-02-26 21:42:53,0.0035698348951361,0,"[0.00028927839593961835, -0.0015367575688287616, 0.0005134898237884045, 0.0012827847385779023]",5.63273933948949e-05,0.5,5.63273933948949e-05
1,2015-02-26 21:47:53,0.0035698348951361,0,"[0.00028927839593961835, -0.0015367575688287616, 0.0005134898237884045, 0.0012827847385779023]",5.63273933948949e-05,0.5,5.63273933948949e-05
2,2015-02-26 21:52:53,0.0022311468094600626,0,"[0.00028927839593961835, -0.0015367575688287616, 0.0005134898237884045, 0.0012827847385779023]",5.63273933948949e-05,0.5,5.63273933948949e-05
3,2015-02-26 21:57:53,0.005800981704596163,0,"[0.00028927839593961835, -0.0015367575688287616, 0.0005134898237884045, 0.0012827847385779023]",5.63273933948949e-05,0.5,5.63273933948949e-05
4,2015-02-26 22:02:53,0.009817045961624277,0,"[0.00028927839593961835, -0.0015367575688287616, 0.0005134898237884045, 0.0012827847385779023]",5.63273933948949e-05,0.5,5.63273933948949e-05
5,2015-02-26 22:07:53,0.007585899152164213,0,"[0.00028927839593961835, -0.0015367575688287616, 0.0005134898237884045, 0.0012827847385779023]",5.63273933948949e-05,0.5,5.63273933948949e-05
6,2015-02-26 22:12:53,0.00535475234270415,0,"[0.00028927839593961835, -0.0015367575688287616, 0.0005134898237884045, 0.0012827847385779023]",5.63273933948949e-05,0.5,5.63273933948949e-05
7,2015-02-26 22:17:53,0.003123605533244088,0,"[0.00028927839593961835, -0.0015367575688287616, 0.0005134898237884045, 0.0012827847385779023]",5.63273933948949e-05,0.5,5.63273933948949e-05
8,2015-02-26 22:22:53,0.004462293618920125,0,"[0.00028927839593961835, -0.0015367575688287616, 0.0005134898237884045, 0.0012827847385779023]",5.63273933948949e-05,0.5,5.63273933948949e-05
9,2015-02-26 22:27:53,0.005800981704596163,0,"[0.00028927839593961835, -0.0015367575688287616, 0.0005134898237884045, 0.0012827847385779023]",5.63273933948949e-05,0.5,5.63273933948949e-05
10,2015-02-26 22:32:53,0.002677376171352075,0,"[0.00028927839593961835, -0.0015367575688287616, 0.0005134898237884045, 0.0012827847385779023]",5.63273933948949e-05,0.5,5.63273933948949e-05
11,2015-02-26 22:37:53,0.004462293618920125,0,"[0.00028927839593961835, -0.0015367575688287616, 0.0005134898237884045, 0.0012827847385779023]",5.63273933948949e-05,0.5,5.63273933948949e-05
12,2015-02-26 22:42:53,0.007585899152164213,0,"[0.00028927839593961835, -0.0015367575688287616, 0.0005134898237884045, 0.0012827847385779023]",5.63273933948949e-05,0.5,5.63273933948949e-05
13,2015-02-26 22:47:53,0.0035698348951361,0,"[0.00028927839593961835, -0.0015367575688287616, 0.0005134898237884045, 0.0012827847385779023]",5.63273933948949e-05,0.5,5.63273933948949e-05
14,2015-02-26 22:52:53,0.003123605533244088,0,"[0.00028927839593961835, -0.0015367575688287616, 0.0005134898237884045, 0.0012827847385779023]",5.63273933948949e-05,0.5,5.63273933948949e-05
15,2015-02-26 22:57:53,0.004908522980812138,0,"[0.00028927839593961835, -0.0015367575688287616, 0.0005134898237884045, 0.0012827847385779023]",5.63273933948949e-05,0.5,5.63273933948949e-05
16,2015-02-26 23:02:53,0.004908522980812138,0,"[0.00028927839593961835, -0.0015367575688287616, 0.0005134898237884045, 0.0012827847385779023]",5.63273933948949e-05,0.5,5.63273933948949e-05
17,2015-02-26 23:07:53,0.004462293618920125,0,"[0.00028927839593961835, -0.0015367575688287616, 0.0005134898237884045, 0.0012827847385779023]",5.63273933948949e-05,0.5,5.63273933948949e-05
18,2015-02-26 23:12:53,0.002677376171352075,0,"[0.00028927839593961835, -0.0015367575688287616, 0.0005134898237884045, 0.0012827847385779023]",5.63273933948949e-05,0.5,5.63273933948949e-05
19,2015-02-26 23:17:53,0.003123605533244088,0,"[0.00028927839593961835, -0.0015367575688287616, 0.0005134898237884045, 0.0012827847385779023]",5.63273933948949e-05,0.5,5.63273933948949e-05
20,2015-02-26 23:22:53,0.0071396697902722,0,"[0.00028927839593961835, -0.0015367575688287616, 0.0005134898237884045, 0.0012827847385779023]",5.63273933948949e-05,0.5,5.63273933948949e-05
21,2015-02-26 23:27:53,0.0022311468094600626,0,"[0.00028927839593961835, -0.0015367575688287616, 0.0005134898237884045, 0.0012827847385779023]",5.63273933948949e-05,0.5,5.63273933948949e-05
22,2015-02-26 23:32:53,0.004908522980812138,0,"[0.00028927839593961835, -0.0015367575688287616, 0.0005134898237884045, 0.0012827847385779023]",5.63273933948949e-05,0.5,5.63273933948949e-05
23,2015-02-26 23:37:53,0.004016064257028112,0,"[0.00028927839593961835, -0.0015367575688287616, 0.0005134898237884045, 0.0012827847385779023]",5.63273933948949e-05,0.5,5.63273933948949e-05
24,2015-02-26 23:42:53,0.009817045961624277,0,"[0.00028927839593961835, -0.0015367575688287616, 0.0005134898237884045, 0.0012827847385779023]",5.63273933948949e-05,0.5,5.63273933948949e-05
25,2015-02-26 23:47:53,0.00178491744756805,0,"[0.00028927839593961835, -0.0015367575688287616, 0.0005134898237884045, 0.0012827847385779023]",5.63273933948949e-05,0.5,5.63273933948949e-05
26,2015-02-26 23:52:53,0.006247211066488175,0,"[0.00028927839593961835, -0.0015367575688287616, 0.0005134898237884045, 0.0012827847385779023]",5.63273933948949e-05,0.5,5.63273933948949e-05
