timestamp,value,error_prediction,anomaly_score,convergence_loss,prediction
2014-07-01 00:00:00,10844,0.0,0.5,0,0.0
2014-07-01 00:30:00,8127,0.0,0.5,0,0.0
2014-07-01 01:00:00,6210,0.0,0.5,0,0.0
2014-07-01 01:30:00,4656,0.0,0.5,0,0.0
2014-07-01 02:00:00,3820,0.0,0.5,0,0.0
2014-07-01 02:30:00,2873,0.0,0.5,0,0.0
2014-07-01 03:00:00,2369,0.0,0.5,0,0.0
2014-07-01 03:30:00,2064,0.0,0.5,0,0.0
2014-07-01 04:00:00,2221,0.0,0.5,0,0.0
2014-07-01 04:30:00,2158,0.0,0.5,0,0.0
2014-07-01 05:00:00,2515,0.0,0.5,0,0.0
2014-07-01 05:30:00,4364,41.912109375,0.5,[1756.6248779296875],2556.912109375
2014-07-01 06:00:00,6526,-1848.68115234375,0.5,[3417622.0],2515.31884765625
2014-07-01 06:30:00,11039,-2913.26123046875,0.5,[8487091.0],3612.73876953125
2014-07-01 07:00:00,13857,-7010.572265625,0.5,[49148124.0],4028.427734375
2014-07-01 07:30:00,15865,-7895.8515625,0.5,[62344472.0],5961.1484375
2014-07-01 08:00:00,17920,-8011.40576171875,0.5,[64182624.0],7853.59423828125
2014-07-01 08:30:00,20346,-7918.1328125,0.5,[62696828.0],10001.8671875
2014-07-01 09:00:00,19539,-7633.5625,0.5,[58271276.0],12712.4375
2014-07-01 09:30:00,20107,-3235.4482421875,0.5,[10468125.0],16303.5517578125
2014-07-01 10:00:00,18984,-516.6796875,0.5,[266957.90625],19590.3203125
2014-07-01 10:30:00,17720,4792.5625,0.49999059525669776,[22968656.0],23776.5625
2014-07-01 11:00:00,17249,8697.857421875,0.4999944431603127,[75652720.0],26417.857421875
2014-07-01 11:30:00,18463,10281.701171875,0.4999993260358584,[105713376.0],27530.701171875
2014-07-01 12:00:00,18908,9514.6640625,0.5000072778640055,[90528832.0],27977.6640625
2014-07-01 12:30:00,18886,8881.298828125,0.5000156072775128,[78877472.0],27789.298828125
2014-07-01 13:00:00,18178,8513.658203125,0.5000242425743245,[72482376.0],27399.658203125
2014-07-01 13:30:00,19459,7783.337890625,0.5000334020648641,[60580348.0],25961.337890625
2014-07-01 14:00:00,19546,4535.384765625,0.5000434195686403,[20569714.0],23994.384765625
2014-07-01 14:30:00,20591,2352.841796875,0.5000500991460063,[5535864.5],21898.841796875
2014-07-01 15:00:00,19380,-720.580078125,0.5000531759884203,[519235.65625],19870.419921875
2014-07-01 15:30:00,18544,-831.6171875,0.5000508533231445,[691587.125],18548.3828125
2014-07-01 16:00:00,16228,-1652.326171875,0.5000433282334777,[2730181.75],16891.673828125
2014-07-01 16:30:00,15013,-376.21875,0.5000341925524692,[141540.546875],15851.78125
2014-07-01 17:00:00,17203,-552.515625,0.500024819116477,[305273.53125],14460.484375
2014-07-01 17:30:00,19525,-3893.45703125,0.5000126528714954,[15159008.0],13309.54296875
2014-07-01 18:00:00,22966,-6365.287109375,0.499998559051983,[40516880.0],13159.712890625
2014-07-01 18:30:00,27598,-9670.873046875,0.4999838293503278,[93525784.0],13295.126953125
2014-07-01 19:00:00,26827,-12845.2607421875,0.4999730524173105,[165000720.0],14752.7392578125
2014-07-01 19:30:00,24904,-10160.978515625,0.49996546300731515,[103245488.0],16666.021484375
2014-07-01 20:00:00,22875,-7529.55859375,0.4999611162998886,[56694252.0],17374.44140625
2014-07-01 20:30:00,20394,-4785.763671875,0.4999575393048321,[22903534.0],18089.236328125
2014-07-01 21:00:00,23401,-2112.251953125,0.49995598097908833,[4461608.5],18281.748046875
2014-07-01 21:30:00,24439,-5033.18359375,0.4999515124642129,[25332938.0],18367.81640625
2014-07-01 22:00:00,23318,-4373.576171875,0.49994731318381314,[19128168.0],20065.423828125
2014-07-01 22:30:00,21733,-669.416015625,0.49994893479006797,[448117.8125],22648.583984375
2014-07-01 23:00:00,20104,2930.51171875,0.49995685815453406,[8587899.0],24663.51171875
