Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realTraffic/occupancy_6005.csv,0.621093559265,-2.0,0,1784,0,239,2380
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realTweets/Twitter_volume_PFE.csv,0.621093559265,-8.0,0,13520,0,1588,15858
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.621093559265,-1.32193223519,19,3517,30,455,4730
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.621093559265,-2.0,0,3025,0,403,4032
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.621093559265,0.0,0,3428,0,0,4032
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realAdExchange/exchange-3_cpm_results.csv,0.621093559265,-2.0,0,1155,0,153,1538
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.621093559265,-0.666006045822,3,15786,15,1496,18050
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realAdExchange/exchange-2_cpc_results.csv,0.621093559265,-2.0,0,1218,0,163,1624
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.621093559265,0.485997171538,7,3079,6,336,4032
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.621093559265,-1.13844919792,1,3026,0,401,4032
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realTraffic/TravelTime_387.csv,0.621093559265,-6.0,0,1876,0,249,2500
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.621093559265,-1.35099824357,1,3026,0,401,4032
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.621093559265,0.851668124615,1,3025,0,402,4032
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realKnownCause/rogue_agent_key_hold.csv,0.621093559265,-4.22,0,1408,2,190,1882
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.621093559265,-1.83596544589,5,3010,13,400,4032
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.621093559265,-2.26704820539,1,3023,3,401,4032
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realTraffic/occupancy_t4013.csv,0.621093559265,-4.0,0,1875,0,250,2500
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.621093559265,-1.38667875935,1,3023,3,401,4032
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realKnownCause/rogue_agent_key_updown.csv,0.621093559265,-4.11,0,4034,1,530,5315
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realAdExchange/exchange-2_cpm_results.csv,0.621093559265,-4.0,0,1219,0,162,1624
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.621093559265,-3.13793096429,3,3463,0,462,4621
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realTweets/Twitter_volume_FB.csv,0.621093559265,-1.13975888914,1,13501,0,1581,15833
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realAdExchange/exchange-4_cpc_results.csv,0.621093559265,-6.0,0,1232,0,165,1643
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.621093559265,-2.2,0,3408,20,0,4032
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realTweets/Twitter_volume_CVS.csv,0.621093559265,-0.506568331045,4,13577,0,1522,15853
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realAdExchange/exchange-3_cpc_results.csv,0.621093559265,-6.0,0,1155,0,153,1538
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.621093559265,-4.0,0,931,0,126,1243
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realAdExchange/exchange-4_cpm_results.csv,0.621093559265,-8.0,0,1233,0,164,1643
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.621093559265,-1.12813136468,4,3529,19,469,4730
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realTraffic/speed_7578.csv,0.621093559265,-8.0,0,842,0,116,1127
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.621093559265,0.86067182427,2,3025,0,401,4032
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realTweets/Twitter_volume_GOOG.csv,0.621093559265,-0.841262131302,3,13660,0,1429,15842
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.621093559265,-1.13844919792,1,3026,0,401,4032
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,artificialNoAnomaly/art_noisy.csv,0.621093559265,-0.11,0,3427,1,0,4032
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.621093559265,-3.4418129261,16,2981,44,387,4032
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,artificialNoAnomaly/art_flatline.csv,0.621093559265,0.0,0,3428,0,0,4032
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.621093559265,-1.32,0,3416,12,0,4032
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realKnownCause/ambient_temperature_system_failure.csv,0.621093559265,-4.0,0,5791,0,726,7267
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,artificialWithAnomaly/art_daily_nojump.csv,0.621093559265,-0.689844347965,1,3009,16,402,4032
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realTweets/Twitter_volume_AAPL.csv,0.621093559265,-5.35931492269,1,13562,2,1587,15902
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.621093559265,-1.09035116924,21,3005,20,382,4032
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realTweets/Twitter_volume_KO.csv,0.621093559265,-3.13953718203,1,13514,0,1586,15851
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realTraffic/speed_t4013.csv,0.621093559265,-4.0,0,1871,0,250,2495
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.621093559265,-1.18046254556,2,3005,20,401,4032
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realTraffic/TravelTime_451.csv,0.621093559265,-2.0,0,1621,0,217,2162
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realTweets/Twitter_volume_CRM.csv,0.621093559265,-3.13953970147,9,13559,0,1584,15902
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realTweets/Twitter_volume_UPS.csv,0.621093559265,-0.63726355213,9,13511,20,1576,15866
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realTweets/Twitter_volume_AMZN.csv,0.621093559265,-5.13931041578,1,13501,0,1579,15831
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.621093559265,-1.13844919792,1,3026,0,401,4032
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.621093559265,-3.13759635579,1,3082,0,345,4032
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.621093559265,-2.64,0,3404,24,0,4032
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realKnownCause/machine_temperature_system_failure.csv,0.621093559265,-8.0,0,19677,0,2268,22695
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realTweets/Twitter_volume_IBM.csv,0.621093559265,-1.13976114295,2,13553,0,1588,15893
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realTraffic/speed_6005.csv,0.621093559265,-2.0,0,1886,0,239,2500
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.621093559265,-3.79932448022,12,2980,45,391,4032
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.621093559265,-0.90607392364,4,3017,6,401,4032
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,realKnownCause/nyc_taxi.csv,0.621093559265,-10.0,0,8535,0,1035,10320
predictionNnOneEpochnormalized70WindowMAEscore11272225,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.621093559265,-0.68783240079,1,3009,16,402,4032
Totals,,,,-156.887316155,139,299009,338,33356,365558
