Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,0.761730957031,-3.0,0,1155,0,153,1538
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.761730957031,0.851668124615,1,3025,0,402,4032
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,0.761730957031,-3.0,0,1232,0,165,1643
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realTraffic/speed_t4013.csv,0.761730957031,-2.0,0,1871,0,250,2495
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realTweets/Twitter_volume_CRM.csv,0.761730957031,-1.13953970147,1,13559,0,1592,15902
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.761730957031,-1.0,0,3025,0,403,4032
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realKnownCause/ambient_temperature_system_failure.csv,0.761730957031,-2.0,0,5791,0,726,7267
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,0.761730957031,-2.0,0,13553,0,1590,15893
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.761730957031,-0.138449197924,1,3026,0,401,4032
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,artificialNoAnomaly/art_flatline.csv,0.761730957031,0.0,0,3428,0,0,4032
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.761730957031,-0.138449197924,1,3026,0,401,4032
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realKnownCause/nyc_taxi.csv,0.761730957031,-5.0,0,8535,0,1035,10320
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.761730957031,-5.91217625866,8,2993,32,395,4032
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realTweets/Twitter_volume_UPS.csv,0.761730957031,-5.43671280285,0,13529,2,1585,15866
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realKnownCause/rogue_agent_key_hold.csv,0.761730957031,-2.22,0,1409,1,190,1882
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.761730957031,-3.0,0,3023,0,405,4032
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realTweets/Twitter_volume_AAPL.csv,0.761730957031,-4.0,0,13564,0,1588,15902
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.761730957031,-0.138449197924,1,3026,0,401,4032
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realTweets/Twitter_volume_KO.csv,0.761730957031,-1.13953718203,1,13514,0,1586,15851
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realKnownCause/rogue_agent_key_updown.csv,0.761730957031,-2.22,0,4034,1,530,5315
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,artificialNoAnomaly/art_noisy.csv,0.761730957031,0.0,0,3428,0,0,4032
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.761730957031,-3.0,0,3082,0,346,4032
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,0.761730957031,-1.0,0,3025,0,403,4032
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.761730957031,0.0,0,3428,0,0,4032
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realTweets/Twitter_volume_FB.csv,0.761730957031,-0.139758889138,1,13501,0,1581,15833
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.761730957031,0.0,0,3428,0,0,4032
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realTweets/Twitter_volume_GOOG.csv,0.761730957031,-3.0,0,13660,0,1432,15842
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.761730957031,-1.0,0,3025,0,403,4032
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.761730957031,-1.13759635579,1,3023,0,404,4032
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.761730957031,-1.0,0,3548,0,473,4730
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,0.761730957031,-4.0,0,1233,0,164,1643
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realTraffic/TravelTime_451.csv,0.761730957031,-1.0,0,1621,0,217,2162
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.761730957031,-1.1,0,3423,5,0,4032
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realTraffic/TravelTime_387.csv,0.761730957031,-3.0,0,1876,0,249,2500
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.761730957031,-3.0,0,3463,0,465,4621
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.761730957031,-0.687390132718,1,3017,8,402,4032
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.761730957031,-0.798715076675,1,3544,3,473,4730
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.761730957031,0.0749275098516,1,3022,3,402,4032
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realTraffic/occupancy_6005.csv,0.761730957031,-1.0,0,1784,0,239,2380
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realTweets/Twitter_volume_PFE.csv,0.761730957031,-4.0,0,13520,0,1588,15858
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realAdExchange/exchange-2_cpm_results.csv,0.761730957031,-2.0,0,1219,0,162,1624
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realTweets/Twitter_volume_AMZN.csv,0.761730957031,-2.13931041578,1,13501,0,1579,15831
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.761730957031,-1.0,0,3025,0,403,4032
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.761730957031,0.63531860494,3,3085,0,340,4032
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realTraffic/speed_6005.csv,0.761730957031,-1.0,0,1886,0,239,2500
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,0.761730957031,-1.40068937124,1,13577,0,1525,15853
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.761730957031,-2.0,0,931,0,126,1243
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.761730957031,-1.0,0,3025,0,403,4032
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.761730957031,-0.138449197924,1,3026,0,401,4032
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.761730957031,-1.0,0,15801,0,1499,18050
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realTraffic/occupancy_t4013.csv,0.761730957031,-2.0,0,1875,0,250,2500
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.761730957031,-0.35099824357,1,3026,0,401,4032
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.761730957031,-2.0,0,3026,0,402,4032
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realKnownCause/machine_temperature_system_failure.csv,0.761730957031,-4.0,0,19677,0,2268,22695
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realTraffic/speed_7578.csv,0.761730957031,-4.0,0,842,0,116,1127
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.761730957031,0.0,0,3428,0,0,4032
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realAdExchange/exchange-2_cpc_results.csv,0.761730957031,-1.0,0,1218,0,163,1624
predictionNnOneEpochnormalzied30WindowSize20Nov11201656,reward_low_FP_rate,realAdExchange/exchange-3_cpm_results.csv,0.761730957031,-1.0,0,1155,0,153,1538
Totals,,,,-96.8143069822,26,299292,55,33469,365558
