Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
random,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.997657012939,-4.98841372093,0,3017,9,402,4032
random,reward_low_FN_rate,realTweets/Twitter_volume_IBM.csv,0.997657012939,-1.19353955161,4,13529,24,1586,15893
random,reward_low_FN_rate,realAdExchange/exchange-2_cpc_results.csv,0.997657012939,0.45152002278,1,1213,5,162,1624
random,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.997657012939,-2.85479208215,1,3018,8,401,4032
random,reward_low_FN_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.997657012939,-0.99,0,3419,9,0,4032
random,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.997657012939,-1.91207564425,1,3018,8,401,4032
random,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.997657012939,-3.79276138557,2,3016,7,403,4032
random,reward_low_FN_rate,realTraffic/speed_t4013.csv,0.997657012939,-1.96931943528,1,1864,7,249,2495
random,reward_low_FN_rate,realTweets/Twitter_volume_KO.csv,0.997657012939,-2.61240377746,4,13491,23,1583,15851
random,reward_low_FN_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.997657012939,-0.99,0,3419,9,0,4032
random,reward_low_FN_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.997657012939,-0.99,0,3419,9,0,4032
random,reward_low_FN_rate,realTweets/Twitter_volume_CRM.csv,0.997657012939,-0.114745513928,3,13534,25,1590,15902
random,reward_low_FN_rate,realTweets/Twitter_volume_UPS.csv,0.997657012939,-4.15395000218,6,13510,21,1579,15866
random,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.997657012939,-0.24797169063,1,3017,8,402,4032
random,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.997657012939,-1.88682154254,2,3019,7,400,4032
random,reward_low_FN_rate,realTweets/Twitter_volume_GOOG.csv,0.997657012939,-5.84033634104,2,13635,25,1430,15842
random,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.997657012939,-5.20325110157,0,3536,11,474,4730
random,reward_low_FN_rate,realTraffic/speed_6005.csv,0.997657012939,0.0445222581173,2,1880,6,237,2500
random,reward_low_FN_rate,artificialNoAnomaly/art_noisy.csv,0.997657012939,-0.99,0,3419,9,0,4032
random,reward_low_FN_rate,realTweets/Twitter_volume_AAPL.csv,0.997657012939,-5.30564559052,3,13539,25,1585,15902
random,reward_low_FN_rate,realTweets/Twitter_volume_AMZN.csv,0.997657012939,-2.92960142657,3,13477,24,1577,15831
random,reward_low_FN_rate,realTraffic/speed_7578.csv,0.997657012939,-8.54957611837,0,837,5,116,1127
random,reward_low_FN_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.997657012939,-2.4301085406,1,15772,29,1498,18050
random,reward_low_FN_rate,realAdExchange/exchange-3_cpm_results.csv,0.997657012939,-2.54998657157,0,1150,5,153,1538
random,reward_low_FN_rate,realAdExchange/exchange-4_cpc_results.csv,0.997657012939,-4.50395857548,1,1227,5,164,1643
random,reward_low_FN_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.997657012939,0.044255134012,1,3017,8,402,4032
random,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.997657012939,-2.94076872619,0,3016,9,403,4032
random,reward_low_FN_rate,realTraffic/occupancy_t4013.csv,0.997657012939,-1.96931943528,1,1868,7,249,2500
random,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.997657012939,0.231352082628,2,3018,7,401,4032
random,reward_low_FN_rate,realKnownCause/ambient_temperature_system_failure.csv,0.997657012939,0.0103420527257,2,5781,10,724,7267
random,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.997657012939,-0.99,0,3419,9,0,4032
random,reward_low_FN_rate,realTweets/Twitter_volume_FB.csv,0.997657012939,-0.874138795651,2,13476,25,1580,15833
random,reward_low_FN_rate,realAdExchange/exchange-3_cpc_results.csv,0.997657012939,-6.54926634239,0,1150,5,153,1538
random,reward_low_FN_rate,realKnownCause/rogue_agent_key_hold.csv,0.997657012939,-1.63362719667,1,1406,4,189,1882
random,reward_low_FN_rate,realTraffic/occupancy_6005.csv,0.997657012939,-2.65410543003,0,1778,6,239,2380
random,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.997657012939,-4.98866315839,0,3017,9,402,4032
random,reward_low_FN_rate,realTraffic/TravelTime_387.csv,0.997657012939,-3.65764865923,2,1870,6,247,2500
random,reward_low_FN_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.997657012939,-1.77537696871,2,3019,7,400,4032
random,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.997657012939,0.0863208677054,1,3017,8,402,4032
random,reward_low_FN_rate,realTweets/Twitter_volume_CVS.csv,0.997657012939,-2.73794568482,4,13554,23,1522,15853
random,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.997657012939,0.123789737881,1,3077,8,342,4032
random,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.997657012939,-6.9454823842,0,3014,9,405,4032
random,reward_low_FN_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.997657012939,-3.94965249033,2,3454,9,463,4621
random,reward_low_FN_rate,realAdExchange/exchange-2_cpm_results.csv,0.997657012939,-4.65851625551,0,1213,6,162,1624
random,reward_low_FN_rate,realKnownCause/nyc_taxi.csv,0.997657012939,-8.81244286296,1,8518,17,1034,10320
random,reward_low_FN_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.997657012939,-1.63928178412,1,927,4,125,1243
random,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.997657012939,0.10655640032,2,3539,9,471,4730
random,reward_low_FN_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.997657012939,-0.0358695510524,1,3017,8,402,4032
random,reward_low_FN_rate,artificialWithAnomaly/art_daily_nojump.csv,0.997657012939,0.0863208677054,1,3017,8,402,4032
random,reward_low_FN_rate,artificialNoAnomaly/art_flatline.csv,0.997657012939,-0.99,0,3419,9,0,4032
random,reward_low_FN_rate,realKnownCause/rogue_agent_key_updown.csv,0.997657012939,0.816527242929,3,4027,8,527,5315
random,reward_low_FN_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.997657012939,-3.92478254196,1,3074,8,345,4032
random,reward_low_FN_rate,realKnownCause/machine_temperature_system_failure.csv,0.997657012939,0.340368634374,8,19645,32,2260,22695
random,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.997657012939,0.0863208677054,1,3017,8,402,4032
random,reward_low_FN_rate,realTweets/Twitter_volume_PFE.csv,0.997657012939,-2.70121934992,4,13497,23,1584,15858
random,reward_low_FN_rate,realAdExchange/exchange-4_cpm_results.csv,0.997657012939,-8.65687524119,0,1227,6,164,1643
random,reward_low_FN_rate,realTraffic/TravelTime_451.csv,0.997657012939,0.419477425046,1,1616,5,216,2162
random,reward_low_FN_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.997657012939,-0.103866636845,1,3017,8,402,4032
Totals,,,,-137.340434514,84,298696,651,33411,365558
