Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
recentErrorpredictionMultiStepNNMultiStep10Window50errorInput5mseconvergenceLoss1301938,reward_low_FN_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.969543457031,0.308908670438,2,3020,5,401,4032
recentErrorpredictionMultiStepNNMultiStep10Window50errorInput5mseconvergenceLoss1301938,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.969543457031,-2.0,0,3085,0,343,4032
recentErrorpredictionMultiStepNNMultiStep10Window50errorInput5mseconvergenceLoss1301938,reward_low_FN_rate,realKnownCause/rogue_agent_key_updown.csv,0.969543457031,-5.1,0,4025,10,530,5315
recentErrorpredictionMultiStepNNMultiStep10Window50errorInput5mseconvergenceLoss1301938,reward_low_FN_rate,realTraffic/occupancy_t4013.csv,0.969543457031,-1.15503494266,5,1875,0,245,2500
recentErrorpredictionMultiStepNNMultiStep10Window50errorInput5mseconvergenceLoss1301938,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.969543457031,-3.19,0,3399,29,0,4032
recentErrorpredictionMultiStepNNMultiStep10Window50errorInput5mseconvergenceLoss1301938,reward_low_FN_rate,realTweets/Twitter_volume_PFE.csv,0.969543457031,0.482995017577,22,13520,0,1566,15858
recentErrorpredictionMultiStepNNMultiStep10Window50errorInput5mseconvergenceLoss1301938,reward_low_FN_rate,realKnownCause/rogue_agent_key_hold.csv,0.969543457031,-4.88,0,1402,8,190,1882
recentErrorpredictionMultiStepNNMultiStep10Window50errorInput5mseconvergenceLoss1301938,reward_low_FN_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.969543457031,-4.99,0,922,9,126,1243
recentErrorpredictionMultiStepNNMultiStep10Window50errorInput5mseconvergenceLoss1301938,reward_low_FN_rate,realTraffic/occupancy_6005.csv,0.969543457031,-2.21987963485,0,1782,2,239,2380
recentErrorpredictionMultiStepNNMultiStep10Window50errorInput5mseconvergenceLoss1301938,reward_low_FN_rate,realAdExchange/exchange-4_cpc_results.csv,0.969543457031,-0.293585580032,19,1232,0,146,1643
recentErrorpredictionMultiStepNNMultiStep10Window50errorInput5mseconvergenceLoss1301938,reward_low_FN_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.969543457031,-6.0,0,3463,0,465,4621
recentErrorpredictionMultiStepNNMultiStep10Window50errorInput5mseconvergenceLoss1301938,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.969543457031,-1.14198431717,10,3026,0,392,4032
recentErrorpredictionMultiStepNNMultiStep10Window50errorInput5mseconvergenceLoss1301938,reward_low_FN_rate,realAdExchange/exchange-2_cpm_results.csv,0.969543457031,-4.0,0,1219,0,162,1624
recentErrorpredictionMultiStepNNMultiStep10Window50errorInput5mseconvergenceLoss1301938,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.969543457031,-2.13476537181,9,3538,9,465,4730
recentErrorpredictionMultiStepNNMultiStep10Window50errorInput5mseconvergenceLoss1301938,reward_low_FN_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.969543457031,-2.42187552453,0,3021,4,403,4032
recentErrorpredictionMultiStepNNMultiStep10Window50errorInput5mseconvergenceLoss1301938,reward_low_FN_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.969543457031,-0.22,0,3426,2,0,4032
recentErrorpredictionMultiStepNNMultiStep10Window50errorInput5mseconvergenceLoss1301938,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.969543457031,0.855326299622,13,3025,0,390,4032
recentErrorpredictionMultiStepNNMultiStep10Window50errorInput5mseconvergenceLoss1301938,reward_low_FN_rate,realTweets/Twitter_volume_CRM.csv,0.969543457031,-0.279079402942,20,13559,0,1573,15902
recentErrorpredictionMultiStepNNMultiStep10Window50errorInput5mseconvergenceLoss1301938,reward_low_FN_rate,realTraffic/TravelTime_451.csv,0.969543457031,-2.0,0,1621,0,217,2162
