Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,0.998431396484,-1.25178359729,4,13576,1,1522,15853
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.998431396484,-1.22,0,3024,1,403,4032
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.998431396484,1.7087341609,2,3026,0,400,4032
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realAdExchange/exchange-2_cpm_results.csv,0.998431396484,-2.0,0,1219,0,162,1624
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,artificialNoAnomaly/art_flatline.csv,0.998431396484,0.0,0,3428,0,0,4032
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realAdExchange/exchange-2_cpc_results.csv,0.998431396484,-1.0,0,1218,0,163,1624
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.998431396484,-0.581984317169,1,3024,2,401,4032
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,0.998431396484,0.705359900956,2,1155,0,151,1538
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realTweets/Twitter_volume_PFE.csv,0.998431396484,3.0043455273,5,13518,2,1583,15858
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realTraffic/speed_6005.csv,0.998431396484,-1.0,0,1886,0,239,2500
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,0.998431396484,1.71958394173,4,13553,0,1586,15893
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.998431396484,-0.358495402625,1,3026,0,401,4032
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.998431396484,-1.66,0,15798,3,1499,18050
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realTraffic/occupancy_6005.csv,0.998431396484,-1.0,0,1784,0,239,2380
